name_x,address,lat,lng,rating,user_ratings_total,neighborhood,name_y,population_b01001_001e,store_count,people_per_store
Llanera Super Market,"260 East 8th Street, South Boston",42.3322515,-71.04994,4.3,62.0,South Boston,South Boston,40904.0,3,13634.666666666666
South Boston Market,"636 Dorchester Avenue, South Boston",42.32809899999999,-71.05679239999999,4.4,50.0,South Boston,South Boston,40904.0,3,13634.666666666666
Star Market,"33 Kilmarnock Street, Boston",42.3435214,-71.1004083,4.1,1876.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"15 Washington Street, Brighton",42.3427052,-71.1405568,4.2,1372.0,Brighton,Brighton,55869.0,2,27934.5
Star Market,"1065 Commonwealth Avenue, Boston",42.352627,-71.12336669999999,4.2,1693.0,Boston,,673000.0,42,16023.809523809523
Allston Market,"169 Harvard Avenue, Allston",42.35139110000001,-71.13172089999999,3.9,195.0,Allston,Allston,31810.0,4,7952.5
Target Grocery,"860 Commonwealth Avenue, Boston",42.3505926,-71.1140487,4.6,26.0,Boston,,673000.0,42,16023.809523809523
Target Grocery,"1341 Boylston Street, Boston",42.3446572,-71.0995726,3.6,7.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"899 Boylston Street, Boston",42.3484027,-71.0841906,4.5,2119.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"15 Westland Avenue, Boston",42.3438346,-71.0873245,4.3,1405.0,Boston,,673000.0,42,16023.809523809523
Symphony Market / Halal / postmate,"291 Huntington Avenue, Boston",42.3415202,-71.0868242,3.7,79.0,Boston,,673000.0,42,16023.809523809523
Star Market,"53 Huntington Avenue, Boston",42.3477181,-71.0797151,4.2,1969.0,Boston,,673000.0,42,16023.809523809523
Wollaston's Market,"369 Huntington Avenue, Boston",42.340294,-71.0906471,4.3,236.0,Boston,,673000.0,42,16023.809523809523
South End Food Emporium,"469 Columbus Avenue, Boston",42.3434266,-71.07852640000002,4.3,130.0,Boston,,673000.0,42,16023.809523809523
Foodie's Markets,"1421 Washington Street, Boston",42.34111679999999,-71.0707731,4.1,656.0,Boston,,673000.0,42,16023.809523809523
New Ming,"1102 Washington Street, Boston",42.3442288,-71.0656277,4.0,816.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"348 Harrison Avenue, Boston",42.345449,-71.0627816,4.4,2215.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"500 Boylston Street, Boston",42.350886,-71.0737444,4.7,180.0,Boston,,673000.0,42,16023.809523809523
Jia Ho Supermarket,"692 Washington Street, Boston",42.351266,-71.0627842,4.2,929.0,Boston,,673000.0,42,16023.809523809523
Foodie's Markets South Boston,"230 West Broadway, Boston",42.3397308,-71.05195210000001,3.4,163.0,Boston,,673000.0,42,16023.809523809523
Roche Bros. Downtown Crossing,"8 Summer Street, Boston",42.3553517,-71.0600681,4.3,1474.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"44 Thomson Place, Boston",42.3517967,-71.0473514,4.7,855.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"199 North Harvard Street, Allston",42.3635097,-71.1298352,4.7,703.0,Allston,Allston,31810.0,4,7952.5
Bazaar on Cambridge,"424 Cambridge Street, Allston",42.3545877,-71.1344929,4.3,608.0,Allston,Allston,31810.0,4,7952.5
Star Market,"370 Western Avenue, Brighton",42.36092549999999,-71.1375414,4.1,1070.0,Brighton,Brighton,55869.0,2,27934.5
Cheema Supermarket,"562 Cambridge Street, Boston",42.352351,-71.1403629,4.2,394.0,Boston,,673000.0,42,16023.809523809523
Mayfair Foods,"506 Cambridge Street, Allston",42.35317510000001,-71.1379915,4.5,86.0,Allston,Allston,31810.0,4,7952.5
Whole Foods Market,"181 Cambridge Street, Boston",42.36203809999999,-71.0655752,4.3,1432.0,Boston,,673000.0,42,16023.809523809523
Target Grocery,"100 Cambridge Street Ste 2, Boston",42.3609879,-71.0626207,3.5,16.0,Boston,,673000.0,42,16023.809523809523
Star Market,"90 Causeway Street, Boston",42.3649898,-71.0622667,4.2,647.0,Boston,,673000.0,42,16023.809523809523
Tropics Int'l Foods LLC,"One Boston Place, Boston",42.35851329999999,-71.0584124,1.3,3.0,Boston,,673000.0,42,16023.809523809523
Going Bananas,"65 Salem Street, Boston",42.36343189999999,-71.05613749999999,4.1,46.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"27 Austin Street, Charlestown",42.37558279999999,-71.06614809999999,4.3,1188.0,Charlestown,Charlestown,19232.0,1,19232.0
Shaw's,"246 Border Street, East Boston",42.3766061,-71.0405298,4.1,1690.0,East Boston,East Boston,46892.0,5,9378.4
Maverick Street Market,"207 Maverick Street, Boston",42.3687449,-71.036281,4.3,35.0,Boston,,673000.0,42,16023.809523809523
Bella's Market,"75 Maverick Square, East Boston",42.3698404,-71.0385206,4.2,59.0,East Boston,East Boston,46892.0,5,9378.4
Los Paisanos Market LLC,"11 Meridian Street, Boston",42.3705275,-71.03881950000002,4.2,29.0,Boston,,673000.0,42,16023.809523809523
Portillo Brothers Market,"60 Maverick Street, Boston",42.3712058,-71.04093379999999,4.8,21.0,Boston,,673000.0,42,16023.809523809523
Diana's Market,"170 Cottage Street #3r, Boston",42.3701891,-71.0327794,4.6,24.0,Boston,,673000.0,42,16023.809523809523
Jacqueline Grocery Store,"129 London Street, Boston",42.3734268,-71.0387075,4.2,13.0,Boston,,673000.0,42,16023.809523809523
Sava's Market,"150 Bennington Street, Boston",42.3770083,-71.0335722,4.3,111.0,Boston,,673000.0,42,16023.809523809523
bp,"331 Bennington Street, East Boston",42.37903000000001,-71.02738,3.6,40.0,East Boston,East Boston,46892.0,5,9378.4
ElSol Food Market,"353 Chelsea Street, East Boston",42.37830779999999,-71.0288235,4.0,10.0,East Boston,East Boston,46892.0,5,9378.4
Orient Heights Food Market,"1016 Bennington Street, East Boston",42.3871157,-71.0062476,4.0,50.0,East Boston,East Boston,46892.0,5,9378.4
